occ_group,occ_group_code,supply_elasticity,beta_calibrated,barrier_index,share_college,share_55_plus,total_emp,beta_iv,beta_ols,beta_reduced_form,se_iv,first_stage_f,n_obs,beta_working
"Installation, Maintenance, and Repair",7000,0.9110025824974061,1.0976917291042336,0.23237588007784132,0.08997106122372567,0.2039173329305693,3440228.4000000004,-0.07059638235844377,-0.016444233242906964,-0.09982352301228099,0.21207092613205927,4.0870830509440355,517,1.0976917291042336
Legal,2100,0.3303021641513051,3.027530874856512,0.8810400699618068,0.8176404138068797,0.21073496050321477,1509844.4,0.40581903435442274,-0.04886818883581099,0.2918305607903361,0.3461041754514882,8.51411468468223,345,3.027530874856512
"Life, Physical, and Social Science",1600,0.43237337346763166,2.312815870181844,0.7670226933423362,0.8777888460256741,0.1428904804369468,1333544.4,0.3762964452098148,-0.028930341361585777,0.22771739462162818,0.2336192296336022,10.548970394894429,354,2.312815870181844
Management,10,0.4910407525644986,2.0364908508660884,0.7014890261841985,0.6141587902429951,0.20957855637143394,14684350.6,-0.0064791793931036675,0.030370796803597156,-0.013400447634935704,0.08363992799255317,22.030856097735683,520,2.0364908508660884
Office and Administrative Support,5000,0.7825714466002809,1.277838597797418,0.3758382852881882,0.26015853003336303,0.20214630501490738,13401599.399999999,-0.08914952174674234,0.0017212323666888655,-0.21713104595809593,0.0469261708822821,64.20908369763391,520,1.277838597797418
Personal Care and Service,4300,0.8762265008225352,1.1412574249480878,0.27122207018601535,0.19455805239316865,0.1827037869374569,3809886.0,-0.21708296895097162,0.009765448590645225,-0.27267202200725044,0.06556738638009338,157.36422197671047,517,1.1412574249480878
Production,7700,0.8700445206114443,1.149366470691898,0.2781275743992326,0.11210454821421546,0.21474338453238775,5632096.2,0.07868173968841292,-0.03716410524679681,0.159349871691183,0.047560757891927055,80.61028557313355,520,1.149366470691898
Protective Service,3700,0.8646411781769847,1.1565491272442132,0.28416331095491965,0.3102552737139583,0.14698156302090215,2450076.0,0.1245413237366817,-0.03864744301208924,0.2457086804156242,0.22375177795254333,6.555388669389754,490,1.1565491272442132
Sales and Related,4700,0.7504404067684741,1.3325508474499295,0.4117298642575806,0.3435450223109991,0.18724053506806418,10184035.2,-0.10627783644282825,0.002113925465298261,-0.18987911380005384,0.059805424064029916,118.40378811648382,520,1.3325508474499295
Transportation and Material Moving,9000,0.8965253677528744,1.1154174058749537,0.2485474729979637,0.11636298160342164,0.2011632490538526,7285387.4,0.029777977218831363,0.052049094477617866,0.03895014185484997,0.05722823660339083,90.29591889714013,520,1.1154174058749537
_POOLED,0,,,,,,,-0.10402115157745928,-0.010219366755057758,-0.10183554501033909,0.013073007486017673,2090.7046569530025,10578,
